"Story","Title","Result","Date","Stability","Duration (s)"
"Manage vaccination bookings","Approve a vaccination booking","FAILURE","2022-12-19T12:56:00.0829597+07:00[Asia/Bangkok]","0.0","21.33"
"Manage vaccination bookings","Approve all vaccination bookings","FAILURE","2022-12-19T12:56:21.7590916+07:00[Asia/Bangkok]","0.0","11.82"
"Manage vaccination bookings","Reject a vaccination booking","FAILURE","2022-12-19T12:56:33.8436574+07:00[Asia/Bangkok]","0.0","12.07"
"Manage vaccination bookings","Reject all vaccination bookings","FAILURE","2022-12-19T12:56:46.1711686+07:00[Asia/Bangkok]","0.0","11.41"
"Manage vaccination bookings","Sort vaccination bookings by available date","FAILURE","2022-12-19T12:56:57.8332162+07:00[Asia/Bangkok]","0.0","12.0"
"Manage vaccination bookings","Sort vaccination bookings by unavailable date","FAILURE","2022-12-19T12:57:10.0724945+07:00[Asia/Bangkok]","0.0","12.06"
"Manage vaccination bookings","Sort vaccination bookings by vaccine","FAILURE","2022-12-19T12:57:22.4003667+07:00[Asia/Bangkok]","0.0","11.31"
"Manage vaccination bookings","Sort vaccination bookings by status","FAILURE","2022-12-19T12:57:33.9751119+07:00[Asia/Bangkok]","0.0","11.21"
