"Story","Title","Result","Date","Stability","Duration (s)"
"Manage vaccination bookings","Sort vaccination bookings by time","SUCCESS","2022-12-19T12:57:45.416258+07:00[Asia/Bangkok]","0.0","4.97"
"Manage vaccination bookings","Sort vaccination bookings by dose","SUCCESS","2022-12-19T12:57:50.542304+07:00[Asia/Bangkok]","0.0","4.76"
